image_id,scene_category,objects,num_objects,scene_confidence
sunrgbd/kv2/kinect2data/000002_2014-05-26_14-23-37_260595134347_rgbf000103-resize,bedroom,bed;night_stand;ottoman;dresser_mirror;dresser;lamp,6,0.8
sunrgbd/kv2/kinect2data/000003_2014-05-26_14-24-42_260595134347_rgbf000040-resize,bedroom,bed;night_stand;lamp,3,1.0
sunrgbd/kv2/kinect2data/000008_2014-05-26_14-30-06_260595134347_rgbf000060-resize,bedroom,bed;night_stand;dresser_mirror;dresser;lamp;drawer,6,1.0
sunrgbd/kv2/kinect2data/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize,bedroom,bed;night_stand;lamp;ottoman,4,0.75
sunrgbd/kv2/kinect2data/000010_2014-05-26_14-32-36_260595134347_rgbf000020-resize,bedroom,bed;dresser_mirror;dresser_mirror;night_stand;lamp,5,1.0
sunrgbd/kv2/kinect2data/000011_2014-05-26_14-33-11_260595134347_rgbf000020-resize,bedroom,bed;night_stand;dresser;lamp;ottoman,5,0.8
sunrgbd/kv2/kinect2data/000012_2014-05-26_14-35-37_260595134347_rgbf000180-resize,bedroom,bed;dresser_mirror;night_stand;lamp,4,1.0
sunrgbd/kv2/kinect2data/000013_2014-05-26_14-36-25_260595134347_rgbf000040-resize,bedroom,bed;dresser_mirror;drawer;night_stand;lamp,5,1.0
sunrgbd/kv2/kinect2data/000014_2014-05-26_14-36-58_260595134347_rgbf000050-resize,bedroom,bed;dresser_mirror;night_stand;lamp,4,1.0
sunrgbd/kv2/kinect2data/000015_2014-05-26_14-37-33_260595134347_rgbf000020-resize,bedroom,bed;night_stand;night_stand;lamp,4,1.0
sunrgbd/kv2/kinect2data/000016_2014-05-26_14-38-10_260595134347_rgbf000059-resize,bedroom,bed;night_stand;dresser;lamp;night_stand;lamp,6,1.0
sunrgbd/kv2/kinect2data/000017_2014-05-26_14-38-49_260595134347_rgbf000059-resize,bedroom,bed;night_stand;dresser_mirror;lamp,4,1.0
