room_id,scene_category,condition,seed,clip_alignment,aesthetic_score,lpips_diversity
room_000,bathroom,baseline,42,0.2771875858306885,0.2758626341819763,0.6767494678497314
room_000,bathroom,baseline,1337,0.2812402844429016,0.27646350860595703,0.6767494678497314
room_000,bathroom,structured,42,0.27756282687187195,0.26738667488098145,0.6881283521652222
room_000,bathroom,structured,1337,0.2695736885070801,0.2781452536582947,0.6881283521652222
room_000,bathroom,controlnet,42,0.2689579129219055,0.28761714696884155,0.4798279106616974
room_000,bathroom,controlnet,1337,0.27099937200546265,0.28649377822875977,0.4798279106616974
room_001,bathroom,baseline,42,0.2754596471786499,0.2758626341819763,0.6767494678497314
room_001,bathroom,baseline,1337,0.27296513319015503,0.27646350860595703,0.6767494678497314
room_001,bathroom,structured,42,0.28270500898361206,0.2747066617012024,0.7511581182479858
room_001,bathroom,structured,1337,0.28091931343078613,0.26779407262802124,0.7511581182479858
room_001,bathroom,controlnet,42,0.2767825424671173,0.2821788787841797,0.6132322549819946
room_001,bathroom,controlnet,1337,0.2864774465560913,0.2665698528289795,0.6132322549819946
room_002,bathroom,baseline,42,0.2802736163139343,0.2758626341819763,0.6767494678497314
room_002,bathroom,baseline,1337,0.28522753715515137,0.27646350860595703,0.6767494678497314
room_002,bathroom,structured,42,0.2708624601364136,0.2779252529144287,0.7470000982284546
room_002,bathroom,structured,1337,0.26700443029403687,0.27923285961151123,0.7470000982284546
room_002,bathroom,controlnet,42,0.28551235795021057,0.2913992404937744,0.505486011505127
room_002,bathroom,controlnet,1337,0.2971947193145752,0.28136131167411804,0.505486011505127
room_004,bedroom,baseline,42,0.253284215927124,0.2697181701660156,0.7513573169708252
room_004,bedroom,baseline,1337,0.25693950057029724,0.25684720277786255,0.7513573169708252
room_004,bedroom,structured,42,0.28788071870803833,0.26817935705184937,0.6823807954788208
room_004,bedroom,structured,1337,0.2750067412853241,0.27316391468048096,0.6823807954788208
room_004,bedroom,controlnet,42,0.27162331342697144,0.27743592858314514,0.45011037588119507
room_004,bedroom,controlnet,1337,0.27924108505249023,0.27159810066223145,0.45011037588119507
room_006,classroom,baseline,42,0.2541113793849945,0.21889522671699524,0.6482385396957397
room_006,classroom,baseline,1337,0.25878745317459106,0.22536562383174896,0.6482385396957397
room_006,classroom,structured,42,0.27583566308021545,0.2409180849790573,0.644780158996582
room_006,classroom,structured,1337,0.2756657600402832,0.23967134952545166,0.644780158996582
room_006,classroom,controlnet,42,0.26627784967422485,0.23871219158172607,0.47897303104400635
room_006,classroom,controlnet,1337,0.27235686779022217,0.2442663311958313,0.47897303104400635
room_007,classroom,baseline,42,0.26630863547325134,0.21889522671699524,0.6482385396957397
room_007,classroom,baseline,1337,0.2719210386276245,0.22536562383174896,0.6482385396957397
room_007,classroom,structured,42,0.26424530148506165,0.2224428951740265,0.6949071884155273
room_007,classroom,structured,1337,0.26548388600349426,0.24559059739112854,0.6949071884155273
room_007,classroom,controlnet,42,0.2773958742618561,0.2294360101222992,0.4823915362358093
room_007,classroom,controlnet,1337,0.2876414358615875,0.22776368260383606,0.4823915362358093
room_008,classroom,baseline,42,0.2609701156616211,0.21889522671699524,0.6482385396957397
room_008,classroom,baseline,1337,0.257858544588089,0.22536562383174896,0.6482385396957397
room_008,classroom,structured,42,0.2435368001461029,0.2401835322380066,0.718095600605011
room_008,classroom,structured,1337,0.2429654896259308,0.21735170483589172,0.718095600605011
room_008,classroom,controlnet,42,0.2717670202255249,0.2140057235956192,0.5409724712371826
room_008,classroom,controlnet,1337,0.2673887014389038,0.21225763857364655,0.5409724712371826
room_009,dining room,baseline,42,0.2506088316440582,0.26311051845550537,0.6382468938827515
room_009,dining room,baseline,1337,0.24537965655326843,0.21664470434188843,0.6382468938827515
room_009,dining room,structured,42,0.27247315645217896,0.27198731899261475,0.6383896470069885
room_009,dining room,structured,1337,0.27827462553977966,0.27005308866500854,0.6383896470069885
room_009,dining room,controlnet,42,0.27389901876449585,0.2763204872608185,0.48053836822509766
room_009,dining room,controlnet,1337,0.25515657663345337,0.2679608166217804,0.48053836822509766
room_010,dining room,baseline,42,0.24104177951812744,0.26311051845550537,0.6382468938827515
room_010,dining room,baseline,1337,0.23114782571792603,0.21664470434188843,0.6382468938827515
room_010,dining room,structured,42,0.2921241521835327,0.24788835644721985,0.6828098297119141
room_010,dining room,structured,1337,0.2717423141002655,0.2602272629737854,0.6828098297119141
room_010,dining room,controlnet,42,0.2771899402141571,0.2602362632751465,0.45904242992401123
room_010,dining room,controlnet,1337,0.26519519090652466,0.25790637731552124,0.45904242992401123
room_011,dining room,baseline,42,0.2374836802482605,0.26311051845550537,0.6382468938827515
room_011,dining room,baseline,1337,0.2377120703458786,0.21664470434188843,0.6382468938827515
room_011,dining room,structured,42,0.26979905366897583,0.274030864238739,0.6064901351928711
room_011,dining room,structured,1337,0.2745862603187561,0.2723686397075653,0.6064901351928711
room_011,dining room,controlnet,42,0.26185908913612366,0.2776501774787903,0.3985308110713959
room_011,dining room,controlnet,1337,0.24473336338996887,0.27526938915252686,0.3985308110713959
room_012,kitchen,baseline,42,0.23254650831222534,0.26515281200408936,0.6749670505523682
room_012,kitchen,baseline,1337,0.2533022165298462,0.2468557506799698,0.6749670505523682
room_012,kitchen,structured,42,0.26047202944755554,0.24255909025669098,0.6315441727638245
room_012,kitchen,structured,1337,0.2722732424736023,0.25850027799606323,0.6315441727638245
room_012,kitchen,controlnet,42,0.2641409635543823,0.2588319778442383,0.4853575825691223
room_012,kitchen,controlnet,1337,0.2715054452419281,0.26135414838790894,0.4853575825691223
